term,df
bahia,1
cocoa,3
review,2
shower,1
continu,8
throughout,1
week,10
zone,1
allevi,1
drought,2
sinc,6
earli,6
januari,3
improv,3
prospect,1
come,5
temporao,1
although,2
normal,1
humid,1
level,5
restor,1
comissaria,1
smith,1
said,58
weekli,3
review.,1
the,41
dri,1
period,6
mean,4
late,3
year.,11
arriv,1
end,20
februari,5
22,3
155221,1
bag,2
60,3
kilo,1
make,7
cumul,1
total,12
season,4
5.93,1
mln,45
5.81,1
stage,2
last,11
again,2
seem,1
deliv,1
earlier,9
consign,1
includ,19
figures.,1
still,4
doubt,1
much,3
old,2
crop,3
avail,5
harvest,1
practic,2
end.,1
with,3
estim,2
around,5
6.4,1
sale,19
stand,1
almost,3
6.2,1
hundr,1
thousand,1
hand,2
farmer,2
middleman,1
export,3
processors.,1
there,3
would,15
fit,2
shipper,1
experienc,1
dificulti,1
obtain,1
+bahia,1
superior+,1
certificates.,1
in,17
view,1
lower,4
qualiti,1
recent,4
sold,7
good,3
part,4
held,8
consignment.,1
spot,2
bean,1
price,10
rose,7
340,1
350,1
cruzado,1
per,12
arroba,1
15,5
kilos.,1
reluct,1
offer,9
nearbi,3
shipment,3
limit,4
book,2
march,14
1750,1
1780,1
dlr,36
tonn,5
port,1
named.,1
new,13
also,19
light,1
open,2
june/juli,1
go,5
1850,1
1880,1
35,3
45,5
york,6
juli,1
aug/sept,1
1870,1
1875,1
fob.,1
routin,2
butter,1
made.,1
march/april,1
4340,1
4345,1
4350,1
dlrs.,14
april/may,1
went,1
2.27,1
time,5
may,11
4400,1
4415,1
4351,1
4450,1
2.28,2
sept,1
oct/dec,1
4480,1
dec,2
said.,30
destin,1
u.s.,11
covert,1
currenc,5
area,3
uruguay,1
ports.,1
cake,1
regist,1
785,1
995,1
753,1
aug,1
0.39,1
oct/dec.,1
buyer,2
argentina,1
convert,3
areas.,1
liquor,1
sell,8
2325,1
2380,1
2375,1
1.25,1
2400,1
current,12
6.13,1
1986/87,2
1.06,1
1987/88,4
crop.,1
final,5
figur,4
28,10
expect,14
publish,1
brazilian,1
trade,11
commiss,4
carniv,1
midday,1
27.,1
comput,4
termin,3
system,6
&lt;cpml>,1
complet,8
inc,36
200000,2
share,23
common,9
stock,15
warrant,2
acquir,10
addit,5
one,9
&lt;sedio,1
n.v.>,1
lugano,1
switzerland,1
50000,1
compani,31
exercis,1
